,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Target
54,-0.1697749177770524,1.251655754850037,0.5759705475755171,-1.3833083566183413,1
99,0.9283157703950929,-0.22878504335308208,1.0782302175942646,0.7212767549993301,0
215,0.06372712511012824,-1.4814657187557214,-1.5567502083304456,-0.6392400957161545,1
336,1.4047861552054215,-0.11490498195284214,0.6011780274282311,0.09183830580734216,0
972,-0.9163503684136324,1.593295939050757,-2.5661696354332206,-0.4004089969640892,1
817,-0.6645468140569161,-1.4814657187557214,-0.6130635473481244,-0.876931733119211,1
62,0.4467966927655833,-0.7981853503542817,1.2103617738457182,-0.23928916221436616,0
279,1.0520087444650594,-0.9120654117545217,0.5912890998181021,0.3819451652647643,0
270,-1.2943712432499053,1.9349361232514768,0.6041300129083491,-0.27347300268460445,1
908,-0.5105616830718567,1.593295939050757,-2.4781448293897608,-0.7648087363768297,1
804,-0.6992565771887941,0.5683753864485975,-2.1823593150886724,-1.2429267184205628,1
425,-0.31113831671415637,0.6822554478488374,0.8176783430269482,-1.3502639774971108,1
808,-1.378305761368811,-0.11490498195284214,-2.2097736986896606,-0.5444369114786931,1
366,0.4701468970543016,-0.7981853503542817,1.2922141110075556,0.35004024749254237,0
561,-1.6818584171221453,0.5683753864485975,-1.5001568131229208,-0.8046898835921077,1
698,1.3732318250855322,-0.9120654117545217,-0.4713973315772584,0.22583896045067617,0
61,1.3151718576649358,-0.22878504335308208,0.7200711445002755,0.2946624259307562,0
30,0.1665942413009669,-0.11490498195284214,-0.26303250299651243,1.9828883606209244,0
981,0.7307856638445865,1.1377756934497971,-0.9781796999162277,1.7834826245445345,0
555,0.4751955898734838,0.11285514084763774,1.377902985134964,1.001128462315681,0
525,0.07193125094129915,0.5683753864485975,1.7223358478256936,-0.33568759234043793,0
682,-1.3524312106705016,-0.0010249205526021983,-0.3004394842383861,-1.2488519174354038,1
868,0.17101184751775098,-1.2537055959552414,0.6287572389198474,1.0428327476893713,0
431,1.50765327139626,-0.11490498195284214,-0.3401354102600694,0.8842197279074662,0
844,1.5259547828657962,0.11285514084763774,-0.641174533889595,1.0029516004740933,0
405,1.046328965043479,0.5683753864485975,0.03577137543748188,1.5533114320449302,0
426,-0.6670711604665072,0.11285514084763774,1.5050949254604884,-0.5756581524415109,1
619,0.602043996955439,-1.3675856573554814,0.18785381890297448,0.9058694935386168,0
985,0.4972836209574059,0.9100155706493174,0.672084599328265,-1.2506750555938164,1
529,1.537945428311354,-0.22878504335308208,-0.9128765304699907,-0.40952468775615286,0
448,-0.8286293306803403,1.593295939050757,-0.23345372781813542,-1.3753321271752854,1
504,0.07066907773650384,1.479415877650517,-1.1909456569250128,-1.508649105009215,1
38,-0.9195058014256212,1.1377756934497971,0.18092806418635513,-1.3828525720787381,1
453,1.1624488998846718,-1.2537055959552414,-0.38406241602624747,0.07793687734944495,0
763,-0.7983371737652464,-1.2537055959552414,-1.6189097146137974,-0.7381453408100435,1
477,-1.2647101729372094,1.593295939050757,-0.16393290352347295,-1.0777048228144106,1
428,-0.2821083330038582,-0.7981853503542817,0.1312268614552766,-1.2926072332373089,1
786,0.5723829266427423,-1.5953457801559614,-0.3020422676635443,-0.3320413160236126,0
350,0.5988885639434492,-0.9120654117545217,0.2980416367016631,1.3067319961196113,0
95,0.4947592745478153,-1.1398255345550017,-0.1515357578310707,1.3361300989240161,0
82,-0.5276010213365966,0.2267352022478777,0.496164015409123,-1.4605638360810798,1
101,-0.08836474606773818,-1.4814657187557214,-0.23383409987343157,1.259786188540484,0
12,0.2883939555637389,1.365535816250277,-0.25082778081443635,-1.524145779355723,1
904,0.9870068244180874,-1.1398255345550017,-0.5985900177303429,0.9478016711821091,0
478,-1.6054969382320132,0.5683753864485975,0.3164889355559449,-0.8402410776811555,1
692,0.07950429017007286,1.251655754850037,-3.017017174299618,-0.021879936823650782,1
856,1.1233215305360087,-0.6843052889540419,0.2816744509105567,0.9844923266201646,0
447,0.563547714209174,0.9100155706493174,1.4305009821067647,0.8710019762589737,0
87,-0.7762491426813237,-0.22878504335308208,0.2643168061205633,-1.3992608155044526,1
548,0.9169562115519333,-0.342665104753322,0.48235128900897356,1.2926026753919126,0
234,-1.7468603371691174,1.593295939050757,0.1294115171756886,0.43869034044536004,1
621,1.44202026474689,-0.5704252275538019,-0.21039945212941902,0.689827621766711,0
655,-0.7674139302477547,0.7961355092490774,-1.9768002897864014,-1.314712783408063,1
